Unnamed: 0,anc1,parameter,exposure,draw,location,rr,location_id,ifa_coverage,bw_start,bw_end,ga_start,ga_end
1054,True,cat15,0.0008602150537634,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,500,1000,28,30
1055,True,cat2,0.0007987711213517,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,0,500,0,24
1056,True,cat46,0.0007987711213517,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,4000,9999,36,37
1057,True,cat10,0.0006758832565284,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,500,1000,24,26
1058,True,cat38,0.0006758832565284,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,4000,9999,34,36
1059,True,cat8,0.0006144393241167,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,500,1000,0,24
1060,True,cat90,0.0001228878648233,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,30,32
1061,True,cat14,0.0007987711213517,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,500,1000,30,32
1062,True,cat30,0.0078648233486943,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,32,34
1063,True,cat19,0.0017818740399385,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,34,36
1064,True,cat21,0.0022119815668202,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,28,30
1065,True,cat28,0.0067588325652841,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,34,36
1066,True,cat29,0.0059600614439324,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,32,34
1067,True,cat36,0.0047311827956989,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,36,37
1068,True,cat27,0.0046697388632872,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,30,32
1069,True,cat123,0.0043625192012288,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,40,42
1070,True,cat124,0.0039938556067588,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,37,38
1071,True,cat47,0.0019662058371735,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,36,37
1072,True,cat95,0.0039324116743471,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3000,3500,32,34
1073,True,cat20,0.0032565284178187,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,28,30
1074,True,cat26,0.0032565284178187,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2000,2500,30,32
1075,True,cat25,0.003195084485407,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1500,2000,36,37
1076,True,cat41,0.0029493087557603,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,3500,4000,34,36
1077,True,cat88,0.0026420890937019,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,2500,3000,30,32
1078,True,cat22,0.0025806451612903,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,32,34
1079,True,cat23,0.0036866359447004,draw_109,pakistan,0.898202185954258,165,0.6511882596118516,1000,1500,30,32
1080,True,cat96,0.0011801242236024,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,32,34
1081,True,cat89,0.0011801242236024,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,30,32
1082,True,cat106,0.0011801242236024,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,36,37
1083,True,cat17,0.0006811145510835,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,26,28
1084,True,cat8,0.0006811145510835,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,500,1000,0,24
1085,True,cat14,0.0006191950464396,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,500,1000,30,32
1086,True,cat2,0.0006191950464396,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,0,500,0,24
1087,True,cat81,0.0006191950464396,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,2500,3000,28,30
1088,True,cat10,0.0004334365325077,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,500,1000,24,26
1089,True,cat15,0.0007430340557275,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,500,1000,28,30
1090,True,cat82,0.0001857585139318,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3000,3500,28,30
1091,True,cat52,0.151055900621118,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,38,40
1092,True,cat44,0.1040372670807453,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,38,40
1093,True,cat42,0.0881366459627329,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,37,38
1094,True,cat54,0.0870807453416149,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,38,40
1095,True,cat48,0.0830434782608695,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,37,38
1096,True,cat51,0.0452173913043478,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,40,42
1097,True,cat90,0.0001238390092879,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3500,4000,30,32
1098,True,cat53,0.0430434782608695,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,4000,9999,38,40
1099,True,cat46,0.0009287925696594,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,4000,9999,36,37
1100,True,cat96,0.0011764705882352,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3500,4000,32,34
1101,True,cat95,0.0037151702786377,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3000,3500,32,34
1102,True,cat26,0.0035294117647058,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,2000,2500,30,32
1103,True,cat25,0.0033436532507739,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1500,2000,36,37
1104,True,cat21,0.0030959752321981,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,28,30
1105,True,cat88,0.0027863777089783,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,2500,3000,30,32
1106,True,cat41,0.0026006191950464,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3500,4000,34,36
1107,True,cat11,0.0011145510835913,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,500,1000,26,28
1108,True,cat20,0.0025386996904024,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1500,2000,28,30
1109,True,cat19,0.0019814241486068,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,34,36
1110,True,cat47,0.0018575851393188,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3500,4000,36,37
1111,True,cat80,0.0013622291021671,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,2000,2500,28,30
1112,True,cat106,0.0012383900928792,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,36,37
1113,True,cat89,0.0012383900928792,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3000,3500,30,32
1114,True,cat38,0.0011764705882352,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,4000,9999,34,36
1115,True,cat22,0.0025386996904024,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1000,1500,32,34
1116,True,cat55,0.0388819875776397,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,40,42
1117,True,cat50,0.0327329192546583,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,37,38
1118,True,cat32,0.0309316770186335,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,38,40
1119,True,cat124,0.0047204968944099,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,37,38
1120,True,cat95,0.0041614906832298,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,32,34
1121,True,cat123,0.0039751552795031,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,40,42
1122,True,cat26,0.0039130434782608,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,30,32
1123,True,cat88,0.0034782608695652,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,30,32
1124,True,cat25,0.0031055900621118,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,36,37
