location,draw,sex,age_start,age_end,parameter,value
nigeria,draw_28,Male,0.0,0.01917808,45.61562,0.6756542392338757
pakistan,draw_28,Female,0.0,0.01917808,45.61562,0.39622086962066805
pakistan,draw_28,Male,0.0,0.01917808,45.61562,0.4522985992953485
ethiopia,draw_28,Female,0.0,0.01917808,45.72573,0.7712846039291352
ethiopia,draw_28,Male,0.0,0.01917808,45.72573,0.6946692746409063
nigeria,draw_28,Female,0.0,0.01917808,45.72573,0.6951353852606186
nigeria,draw_28,Male,0.0,0.01917808,45.72573,0.6767439605978368
pakistan,draw_28,Female,0.0,0.01917808,45.72573,0.39734693884240435
pakistan,draw_28,Male,0.0,0.01917808,45.72573,0.4533899149108205
ethiopia,draw_28,Female,0.0,0.01917808,45.83584,0.7723220758030191
ethiopia,draw_28,Male,0.0,0.01917808,45.83584,0.6957193449519401
nigeria,draw_28,Female,0.0,0.01917808,45.83584,0.6962374772903773
nigeria,draw_28,Male,0.0,0.01917808,45.83584,0.6778339201355079
pakistan,draw_28,Female,0.0,0.01917808,45.83584,0.3984759977459945
pakistan,draw_28,Male,0.0,0.01917808,45.83584,0.454482837451569
ethiopia,draw_28,Female,0.0,0.01917808,45.94595,0.7733588490477857
ethiopia,draw_28,Male,0.0,0.01917808,45.94595,0.6967692859328303
nigeria,draw_28,Female,0.0,0.01917808,45.94595,0.6973401394884409
nigeria,draw_28,Male,0.0,0.01917808,45.94595,0.6789241293321183
pakistan,draw_28,Female,0.0,0.01917808,45.94595,0.3996076613032439
pakistan,draw_28,Male,0.0,0.01917808,45.94595,0.45557725285594786
ethiopia,draw_28,Female,0.0,0.01917808,46.05606,0.7743952606053545
ethiopia,draw_28,Male,0.0,0.01917808,46.05606,0.6978196630700886
nigeria,draw_28,Female,0.0,0.01917808,46.05606,0.6984428325077329
nigeria,draw_28,Male,0.0,0.01917808,46.05606,0.6800146477331539
pakistan,draw_28,Female,0.0,0.01917808,46.05606,0.40074176129852823
pakistan,draw_28,Male,0.0,0.01917808,46.05606,0.45667326992668733
ethiopia,draw_28,Female,0.0,0.01917808,46.16617,0.7754314186402602
ethiopia,draw_28,Male,0.0,0.01917808,46.16617,0.6988703540537764
nigeria,draw_28,Female,0.0,0.01917808,46.16617,0.6995454094913197
nigeria,draw_28,Male,0.0,0.01917808,46.16617,0.6811052527430658
pakistan,draw_28,Female,0.0,0.01917808,46.16617,0.4018782496430411
pakistan,draw_28,Male,0.0,0.01917808,46.16617,0.45777087321033305
ethiopia,draw_28,Female,0.0,0.01917808,46.27628,0.7764670163606844
ethiopia,draw_28,Male,0.0,0.01917808,46.27628,0.6999205852922894
nigeria,draw_28,Female,0.0,0.01917808,46.27628,0.7006481185342113
nigeria,draw_28,Male,0.0,0.01917808,46.27628,0.6821962233141339
pakistan,draw_28,Female,0.0,0.01917808,46.27628,0.4030170952136066
pakistan,draw_28,Male,0.0,0.01917808,46.27628,0.45887000097062813
ethiopia,draw_28,Female,0.0,0.01917808,46.38639,0.777502236840603
ethiopia,draw_28,Male,0.0,0.01917808,46.38639,0.7009712301927735
nigeria,draw_28,Female,0.0,0.01917808,46.38639,0.7017510242619043
nigeria,draw_28,Male,0.0,0.01917808,46.38639,0.6832871461389951
pakistan,draw_28,Female,0.0,0.01917808,46.38639,0.40415837641469277
pakistan,draw_28,Male,0.0,0.01917808,46.38639,0.4599708864958932
ethiopia,draw_28,Female,0.0,0.01917808,46.4965,0.7785370342649541
ethiopia,draw_28,Male,0.0,0.01917808,46.4965,0.7020218492209486
nigeria,draw_28,Female,0.0,0.01917808,46.4965,0.7028539096347011
nigeria,draw_28,Male,0.0,0.01917808,46.4965,0.6843781389135154
pakistan,draw_28,Female,0.0,0.01917808,46.4965,0.40530206214049946
pakistan,draw_28,Male,0.0,0.01917808,46.4965,0.461073288670766
ethiopia,draw_28,Female,0.0,0.01917808,46.60661,0.77957180186082
ethiopia,draw_28,Male,0.0,0.01917808,46.60661,0.7030723640558244
nigeria,draw_28,Female,0.0,0.01917808,46.60661,0.7039566668761851
nigeria,draw_28,Male,0.0,0.01917808,46.60661,0.6854693473437655
pakistan,draw_28,Female,0.0,0.01917808,46.60661,0.4064480780640766
pakistan,draw_28,Male,0.0,0.01917808,46.60661,0.4621773522837579
ethiopia,draw_28,Female,0.0,0.01917808,46.71672,0.7806058956232417
ethiopia,draw_28,Male,0.0,0.01917808,46.71672,0.7041229558828129
nigeria,draw_28,Female,0.0,0.01917808,46.71672,0.7050593722101541
nigeria,draw_28,Male,0.0,0.01917808,46.71672,0.6865609372015553
pakistan,draw_28,Female,0.0,0.01917808,46.71672,0.40759652883530034
pakistan,draw_28,Male,0.0,0.01917808,46.71672,0.46328299276222107
ethiopia,draw_28,Female,0.0,0.01917808,46.82683,0.7816394190372645
