sex_of_child,value,age_group_id,exposure,location,draw
Male,2.2351542438064347,2,49.24925,ethiopia,draw_109
Female,1.7800266717074629,3,49.24925,ethiopia,draw_109
Male,1.8945309769675462,3,49.24925,ethiopia,draw_109
Female,1.8492907729785648,2,49.35936,ethiopia,draw_109
Male,2.2303320083839533,2,49.35936,ethiopia,draw_109
Female,1.77749955652537,3,49.35936,ethiopia,draw_109
Male,1.8915076156094999,3,49.35936,ethiopia,draw_109
Female,1.8459589207734186,2,49.46947,ethiopia,draw_109
Male,2.225525367780021,2,49.46947,ethiopia,draw_109
Female,1.7749779437755586,3,49.46947,ethiopia,draw_109
Male,1.8884920120747903,3,49.46947,ethiopia,draw_109
Female,1.8426377169204087,2,49.57958,ethiopia,draw_109
Male,2.220731782452155,2,49.57958,ethiopia,draw_109
Female,1.772461871665985,3,49.57958,ethiopia,draw_109
Male,1.8854827093895323,3,49.57958,ethiopia,draw_109
Female,1.83932753806986,2,49.68969,ethiopia,draw_109
Male,2.215953941028079,2,49.68969,ethiopia,draw_109
Female,1.7699514550556321,3,49.68969,ethiopia,draw_109
Male,1.8824811086129039,3,49.68969,ethiopia,draw_109
Female,1.836027766749345,2,49.7998,ethiopia,draw_109
Male,2.211191963406461,2,49.7998,ethiopia,draw_109
Female,1.7674463100328073,3,49.7998,ethiopia,draw_109
Male,1.8794872966349683,3,49.7998,ethiopia,draw_109
Female,1.8327399454341609,2,49.90991,ethiopia,draw_109
Male,2.206443813508657,2,49.90991,ethiopia,draw_109
Female,1.764947363705624,3,49.90991,ethiopia,draw_109
Male,1.8765002979430165,3,49.90991,ethiopia,draw_109
Female,1.8294632391811356,2,50.02002,ethiopia,draw_109
Male,2.2017113093579352,2,50.02002,ethiopia,draw_109
Female,1.7624541807470941,3,50.02002,ethiopia,draw_109
Male,1.873521322304295,3,50.02002,ethiopia,draw_109
Female,1.8261966763101225,2,50.13013,ethiopia,draw_109
Male,2.1969921502211776,2,50.13013,ethiopia,draw_109
Female,1.7599662350384422,3,50.13013,ethiopia,draw_109
Male,1.8705486756452425,3,50.13013,ethiopia,draw_109
Female,1.8229398890036697,2,50.24024,ethiopia,draw_109
Male,2.1922879261666983,2,50.24024,ethiopia,draw_109
Female,1.7574836267674496,3,50.24024,ethiopia,draw_109
Male,1.867583462138467,3,50.24024,ethiopia,draw_109
Female,1.8196938841331836,2,50.35035,ethiopia,draw_109
Male,2.187598103312903,2,50.35035,ethiopia,draw_109
Female,1.7550067814160069,3,50.35035,ethiopia,draw_109
Male,1.8646251973945724,3,50.35035,ethiopia,draw_109
Female,1.816457773113825,2,50.46046,ethiopia,draw_109
Male,2.182923531704767,2,50.46046,ethiopia,draw_109
Female,1.7525352688563607,3,50.46046,ethiopia,draw_109
Male,1.861674632591402,3,50.46046,ethiopia,draw_109
Female,1.813232213165868,2,50.57057,ethiopia,draw_109
Male,2.1782620188603783,2,50.57057,ethiopia,draw_109
Female,1.7500692263312636,3,50.57057,ethiopia,draw_109
Male,1.8587303983599446,3,50.57057,ethiopia,draw_109
Female,1.8100174812834053,2,50.68068,ethiopia,draw_109
Male,2.1736161865503605,2,50.68068,ethiopia,draw_109
Female,1.747609048452499,3,50.68068,ethiopia,draw_109
Male,1.8557940160886828,3,50.68068,ethiopia,draw_109
Female,1.8068137826736592,2,50.79079,ethiopia,draw_109
Male,2.1689858168756655,2,50.79079,ethiopia,draw_109
Female,1.7451543709089767,3,50.79079,ethiopia,draw_109
Male,1.8528654372799365,3,50.79079,ethiopia,draw_109
Female,1.8036203841882654,2,50.9009,ethiopia,draw_109
Male,2.164369218493998,2,50.9009,ethiopia,draw_109
Female,1.742704997517333,3,50.9009,ethiopia,draw_109
Male,1.8499437173430948,3,50.9009,ethiopia,draw_109
Female,1.800438174728045,2,51.01101,ethiopia,draw_109
Male,2.1597666969012552,2,51.01101,ethiopia,draw_109
Female,1.740261550494902,3,51.01101,ethiopia,draw_109
Male,1.847028912631157,3,51.01101,ethiopia,draw_109
Female,1.797265403828452,2,51.12112,ethiopia,draw_109
Male,2.1551784835207335,2,51.12112,ethiopia,draw_109
Female,1.737823098026256,3,51.12112,ethiopia,draw_109
Male,1.8441215356637497,3,51.12112,ethiopia,draw_109
Female,1.7941027958684537,2,51.23123,ethiopia,draw_109
Male,2.1506041689146396,2,51.23123,ethiopia,draw_109
Female,1.735390158980055,3,51.23123,ethiopia,draw_109
Male,1.841221178396041,3,51.23123,ethiopia,draw_109
Female,1.7909505530707757,2,51.34134,ethiopia,draw_109
Male,2.1460434256733407,2,51.34134,ethiopia,draw_109
Female,1.7329626473826714,3,51.34134,ethiopia,draw_109
Male,1.8383274496475768,3,51.34134,ethiopia,draw_109
Female,1.7878090684808245,2,51.45145,ethiopia,draw_109
Male,2.14149672468764,2,51.45145,ethiopia,draw_109
Female,1.7305408983744617,3,51.45145,ethiopia,draw_109
Male,1.835440747189842,3,51.45145,ethiopia,draw_109
Female,1.7846775298900317,2,51.56156,ethiopia,draw_109
Male,2.136963512277453,2,51.56156,ethiopia,draw_109
Female,1.7281246345226318,3,51.56156,ethiopia,draw_109
Male,1.8325609083228318,3,51.56156,ethiopia,draw_109
Female,1.781555260779848,2,51.67167,ethiopia,draw_109
Male,2.132445638864379,2,51.67167,ethiopia,draw_109
Female,1.7257132810737617,3,51.67167,ethiopia,draw_109
Male,1.8296887417034526,3,51.67167,ethiopia,draw_109
Female,1.7784432541469057,2,51.78178,ethiopia,draw_109
Male,2.127942137610128,2,51.78178,ethiopia,draw_109
Female,1.7233073166296926,3,51.78178,ethiopia,draw_109
Male,1.8268236335096775,3,51.78178,ethiopia,draw_109
Female,1.7753418756390615,2,51.89189,ethiopia,draw_109
Male,2.1234510049882522,2,51.89189,ethiopia,draw_109
Female,1.7209069284795349,3,51.89189,ethiopia,draw_109
Male,1.8239645590620859,3,51.89189,ethiopia,draw_109
Female,1.7722507877985691,2,52.002,ethiopia,draw_109
Male,2.118974092760329,2,52.002,ethiopia,draw_109
Female,1.7185119119345937,3,52.002,ethiopia,draw_109
Male,1.821112652343441,3,52.002,ethiopia,draw_109
Female,1.7691690819403934,2,52.11211,ethiopia,draw_109
Male,2.114511157160909,2,52.11211,ethiopia,draw_109
Female,1.716121890024117,3,52.11211,ethiopia,draw_109
Male,1.8182678272137387,3,52.11211,ethiopia,draw_109
Female,1.7660971395918432,2,52.22222,ethiopia,draw_109
Male,2.1100627829368404,2,52.22222,ethiopia,draw_109
Female,1.7137370657447806,3,52.22222,ethiopia,draw_109
Male,1.8154302215028664,3,52.22222,ethiopia,draw_109
Female,1.763034625271241,2,52.33233,ethiopia,draw_109
Male,2.105627896857183,2,52.33233,ethiopia,draw_109
Female,1.7113572523239802,3,52.33233,ethiopia,draw_109
Male,1.8125990875071973,3,52.33233,ethiopia,draw_109
Female,1.7599824561135062,2,52.44244,ethiopia,draw_109
Male,2.1012080903328734,2,52.44244,ethiopia,draw_109
Female,1.7089830324214101,3,52.44244,ethiopia,draw_109
Male,1.8097753963277048,3,52.44244,ethiopia,draw_109
Female,1.7569397329954963,2,52.55255,ethiopia,draw_109
Male,2.0968003092009293,2,52.55255,ethiopia,draw_109
Female,1.7066137084431003,3,52.55255,ethiopia,draw_109
Male,1.806957702560911,3,52.55255,ethiopia,draw_109
Female,1.7539064493625485,2,52.66266,ethiopia,draw_109
Male,2.0924060070800543,2,52.66266,ethiopia,draw_109
Female,1.7042493699830714,3,52.66266,ethiopia,draw_109
Male,1.8041467081242186,3,52.66266,ethiopia,draw_109
Female,1.7508828725201044,2,52.77277,ethiopia,draw_109
Male,2.088025836787559,2,52.77277,ethiopia,draw_109
Female,1.7018903636127545,3,52.77277,ethiopia,draw_109
Male,1.8013432294059641,3,52.77277,ethiopia,draw_109
